DEBUG [2020-11-02 23:32:17,988] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:32:31,793] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:31,796] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: kemal
DEBUG [2020-11-02 23:32:31,797] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:22:36 PM; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:32:31,798] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:32:35,191] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:43,532] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:43,532] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
DEBUG [2020-11-02 23:32:43,533] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:32:17 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:32:43,535] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:32:45,639] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:45,639] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
DEBUG [2020-11-02 23:32:45,640] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:32:17 PM; LastUsedView:Search; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:32:45,641] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:32:46,480] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:46,480] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
DEBUG [2020-11-02 23:32:46,481] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:32:17 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:32:46,482] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:33:00,736] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:33:00,737] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
DEBUG [2020-11-02 23:33:00,738] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:32:17 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:33:00,741] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:33:00,741] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:33:00,741] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
